DATE,TIME,SPO2,PULSE
2020-10-28, 14:46:06, 95, 66
2020-10-28, 14:46:07, 95, 65
2020-10-28, 14:46:08, 95, 65
2020-10-28, 14:46:09, 95, 65
2020-10-28, 14:46:10, 95, 65
2020-10-28, 14:46:11, 95, 65
2020-10-28, 14:46:12, 95, 65
2020-10-28, 14:46:13, 94, 65
2020-10-28, 14:46:14, 94, 65
2020-10-28, 14:46:15, 94, 65
2020-10-28, 14:46:16, 94, 65
2020-10-28, 14:46:17, 94, 65
2020-10-28, 14:46:18, 94, 65
2020-10-28, 14:46:19, 94, 65
2020-10-28, 14:46:20, 94, 65
2020-10-28, 14:46:21, 94, 65
2020-10-28, 14:46:22, 94, 65
2020-10-28, 14:46:23, 94, 65
2020-10-28, 14:46:24, 94, 65
2020-10-28, 14:46:25, 94, 65
2020-10-28, 14:46:26, 94, 65
2020-10-28, 14:46:27, 94, 64
2020-10-28, 14:46:28, 94, 63
2020-10-28, 14:46:29, 94, 63
2020-10-28, 14:46:30, 94, 62
2020-10-28, 14:46:31, 94, 61
2020-10-28, 14:46:32, 94, 61
2020-10-28, 14:46:33, 94, 61
2020-10-28, 14:46:34, 94, 61
2020-10-28, 14:46:35, 94, 62
2020-10-28, 14:46:36, 94, 62
2020-10-28, 14:46:37, 94, 62
2020-10-28, 14:46:38, 94, 62
2020-10-28, 14:46:39, 94, 62
2020-10-28, 14:46:40, 94, 62
2020-10-28, 14:46:41, 94, 62
2020-10-28, 14:46:42, 94, 63
2020-10-28, 14:46:43, 94, 63
2020-10-28, 14:46:44, 94, 63
2020-10-28, 14:46:45, 94, 63
2020-10-28, 14:46:46, 94, 63
2020-10-28, 14:46:47, 94, 63
2020-10-28, 14:46:48, 93, 63
2020-10-28, 14:46:49, 93, 62
2020-10-28, 14:46:50, 93, 62
2020-10-28, 14:46:51, 93, 62
2020-10-28, 14:46:52, 93, 61
2020-10-28, 14:46:53, 93, 61
2020-10-28, 14:46:54, 93, 61
2020-10-28, 14:46:55, 93, 61
2020-10-28, 14:46:56, 93, 61
2020-10-28, 14:46:57, 93, 61
2020-10-28, 14:46:58, 93, 60
2020-10-28, 14:46:59, 94, 60
2020-10-28, 14:47:00, 94, 60
2020-10-28, 14:47:01, 94, 60
2020-10-28, 14:47:02, 94, 60
2020-10-28, 14:47:03, 94, 60
2020-10-28, 14:47:04, 93, 60
2020-10-28, 14:47:05, 93, 59
2020-10-28, 14:47:06, 93, 59
2020-10-28, 14:47:07, 93, 59
2020-10-28, 14:47:08, 93, 59
2020-10-28, 14:47:09, 93, 58
2020-10-28, 14:47:10, 93, 58
2020-10-28, 14:47:11, 93, 58
2020-10-28, 14:47:12, 93, 58
2020-10-28, 14:47:13, 93, 58
2020-10-28, 14:47:14, 93, 58
2020-10-28, 14:47:15, 93, 58
2020-10-28, 14:47:16, 93, 58
2020-10-28, 14:47:17, 93, 58
2020-10-28, 14:47:18, 93, 58
2020-10-28, 14:47:19, 93, 58
2020-10-28, 14:47:20, 93, 58
2020-10-28, 14:47:21, 93, 58
2020-10-28, 14:47:22, 93, 58
2020-10-28, 14:47:23, 93, 58
2020-10-28, 14:47:24, 93, 58
2020-10-28, 14:47:25, 93, 58
2020-10-28, 14:47:26, 93, 58
2020-10-28, 14:47:27, 93, 58
2020-10-28, 14:47:28, 93, 58
2020-10-28, 14:47:29, 93, 58
2020-10-28, 14:47:30, 93, 58
2020-10-28, 14:47:31, 93, 58
2020-10-28, 14:47:32, 93, 58
2020-10-28, 14:47:33, 93, 58
2020-10-28, 14:47:34, 93, 58
2020-10-28, 14:47:35, 93, 58
2020-10-28, 14:47:36, 93, 58
2020-10-28, 14:47:37, 93, 58
2020-10-28, 14:47:38, 93, 58
2020-10-28, 14:47:39, 93, 57
2020-10-28, 14:47:40, 93, 57
2020-10-28, 14:47:41, 93, 57
2020-10-28, 14:47:42, 93, 57
2020-10-28, 14:47:43, 93, 57
2020-10-28, 14:47:44, 93, 57
2020-10-28, 14:47:45, 93, 57
2020-10-28, 14:47:46, 93, 57
2020-10-28, 14:47:47, 93, 57
2020-10-28, 14:47:48, 93, 57
2020-10-28, 14:47:49, 93, 57
2020-10-28, 14:47:50, 93, 57
2020-10-28, 14:47:51, 93, 57
2020-10-28, 14:47:52, 93, 57
2020-10-28, 14:47:53, 93, 57
2020-10-28, 14:47:54, 93, 57
2020-10-28, 14:47:55, 93, 57
2020-10-28, 14:47:56, 92, 57
2020-10-28, 14:47:57, 92, 57
2020-10-28, 14:47:58, 92, 57
2020-10-28, 14:47:59, 92, 57
2020-10-28, 14:48:00, 92, 57
2020-10-28, 14:48:01, 92, 57
2020-10-28, 14:48:02, 93, 57
2020-10-28, 14:48:03, 93, 57
2020-10-28, 14:48:04, 93, 57
2020-10-28, 14:48:05, 93, 57
2020-10-28, 14:48:06, 93, 57
2020-10-28, 14:48:07, 93, 58
2020-10-28, 14:48:08, 93, 58
2020-10-28, 14:48:09, 92, 58
2020-10-28, 14:48:10, 92, 59
2020-10-28, 14:48:11, 92, 58
2020-10-28, 14:48:12, 92, 58
2020-10-28, 14:48:13, 92, 58
2020-10-28, 14:48:14, 92, 58
2020-10-28, 14:48:15, 92, 58
2020-10-28, 14:48:16, 92, 58
2020-10-28, 14:48:17, 92, 58
2020-10-28, 14:48:18, 92, 58
2020-10-28, 14:48:19, 92, 58
2020-10-28, 14:48:20, 92, 58
2020-10-28, 14:48:21, 92, 58
2020-10-28, 14:48:22, 92, 58
2020-10-28, 14:48:23, 92, 58
2020-10-28, 14:48:24, 92, 58
2020-10-28, 14:48:25, 92, 58
2020-10-28, 14:48:26, 92, 58
2020-10-28, 14:48:27, 92, 58
2020-10-28, 14:48:28, 92, 58
2020-10-28, 14:48:29, 92, 58
2020-10-28, 14:48:30, 92, 58
2020-10-28, 14:48:31, 92, 58
2020-10-28, 14:48:32, 92, 58
2020-10-28, 14:48:33, 92, 58
2020-10-28, 14:48:34, 92, 58
2020-10-28, 14:48:35, 92, 58
2020-10-28, 14:48:36, 92, 58
2020-10-28, 14:48:37, 92, 59
2020-10-28, 14:48:38, 91, 59
2020-10-28, 14:48:39, 91, 59
2020-10-28, 14:48:40, 91, 59
2020-10-28, 14:48:41, 91, 59
2020-10-28, 14:48:42, 91, 59
2020-10-28, 14:48:43, 91, 59
2020-10-28, 14:48:44, 91, 59
2020-10-28, 14:48:45, 91, 59
2020-10-28, 14:48:46, 91, 59
2020-10-28, 14:48:47, 91, 59
2020-10-28, 14:48:48, 91, 59
2020-10-28, 14:48:49, 91, 58
2020-10-28, 14:48:50, 91, 58
2020-10-28, 14:48:51, 91, 58
2020-10-28, 14:48:52, 91, 59
2020-10-28, 14:48:53, 91, 59
2020-10-28, 14:48:54, 91, 59
2020-10-28, 14:48:55, 91, 59
2020-10-28, 14:48:56, 92, 59
2020-10-28, 14:48:57, 92, 59
2020-10-28, 14:48:58, 92, 59
2020-10-28, 14:48:59, 92, 59
2020-10-28, 14:49:00, 92, 60
